Date,Close,High,Low,Open,Volume
2010/6/29,0.240237623,0.249177772,0.23863299,0.248948527,660808000
2010/6/30,0.234048188,0.243217549,0.234048188,0.240695964,623072000
2010/7/1,0.237945169,0.239549802,0.227629623,0.234735903,737008000
2010/7/2,0.23496516,0.239320625,0.226941967,0.238862162,737096000
2010/7/6,0.232443601,0.241612964,0.230380478,0.234048234,712020000
2010/7/7,0.243676022,0.245051437,0.232902027,0.233360489,608412000
2010/7/8,0.236340553,0.245509915,0.233360504,0.245280698,783272000
2010/7/9,0.237257361,0.238862021,0.234277315,0.237486606,571516000
2010/7/12,0.241612896,0.244592944,0.237028216,0.237257433,565396000
2010/7/13,0.250323951,0.251928585,0.244134634,0.245510023,723316000
2010/7/14,0.252845407,0.263160939,0.249177651,0.261327061,1355664000
2010/7/15,0.245739222,0.253303953,0.242759172,0.253074708,953088000
2010/7/16,0.230380446,0.246426857,0.22946352,0.245739149,1288604000
2010/7/19,0.239779025,0.240695951,0.231985052,0.233589712,798440000
2010/7/20,0.245739222,0.24711461,0.231526684,0.233589808,1160988000
2010/7/21,0.23771593,0.248260707,0.235423589,0.24803149,624940000
2010/7/22,0.241612896,0.244134482,0.238862094,0.240237481,462612000
2010/7/23,0.237486809,0.24161303,0.235194468,0.241383785,817604000
2010/7/26,0.241842076,0.242759029,0.233131179,0.236798934,683548000
2010/7/27,0.239779025,0.242988291,0.236798977,0.242529828,683472000
2010/7/28,0.232214361,0.240008337,0.231526654,0.235882118,1320808000
2010/7/29,0.209290922,0.220064932,0.20791552,0.21548025,2664476000
2010/7/30,0.210666329,0.214334071,0.204477,0.20768628,984288000
2010/8/2,0.210437089,0.215251016,0.20952015,0.214334077,917020000
2010/8/3,0.204935491,0.209061711,0.203330858,0.208832479,955444000
2010/8/4,0.213646412,0.21433412,0.205852449,0.206769388,855496000
2010/8/5,0.216397181,0.216855644,0.210437084,0.214334072,800504000
2010/8/6,0.218918756,0.221211096,0.213646366,0.215480244,739904000
2010/8/9,0.220981821,0.221440298,0.215709433,0.221211053,466456000
2010/8/10,0.211812466,0.217772549,0.210895527,0.217314086,772560000
2010/8/11,0.203560039,0.207457013,0.202872332,0.207457013,796148000
2010/8/12,0.20539391,0.209978591,0.198287644,0.199892277,1343584000
2010/8/13,0.215251073,0.218231123,0.211583316,0.212041792,1797392000
2010/8/16,0.209749386,0.216626408,0.206998569,0.212270958,814008000
2010/8/17,0.212500185,0.216397172,0.209749381,0.211812491,481224000
2010/8/18,0.213646412,0.21548029,0.210437131,0.211812547,352920000
2010/8/19,0.226483464,0.227171172,0.214792516,0.215938686,1615100000
2010/8/20,0.22854659,0.234048224,0.224649616,0.224878847,1305308000
2010/8/23,0.225107998,0.234965065,0.22442029,0.229234215,748620000
2010/8/24,0.222815692,0.225108033,0.217314073,0.217772536,641332000
2010/8/25,0.227400422,0.2292343,0.219147984,0.220294168,757532000
2010/8/26,0.224649638,0.232902077,0.224649638,0.23038049,657596000
2010/8/27,0.231985092,0.23381897,0.220294157,0.226025009,1060416000
2010/8/30,0.220981821,0.231068136,0.220981821,0.229234258,602804000
2010/8/31,0.213875607,0.224649617,0.213187899,0.217772581,931488000
2010/9/1,0.215480268,0.219835719,0.214334097,0.217084915,851440000
2010/9/2,0.219377235,0.220064929,0.214104845,0.216167955,596292000
2010/9/3,0.226941898,0.227629592,0.221898742,0.224649558,566484000
2010/9/7,0.229005069,0.234277444,0.225795789,0.226254251,899820000
2010/9/8,0.236569792,0.238174453,0.226941966,0.229463552,1224156000
2010/9/9,0.233360559,0.23977912,0.23038051,0.239549875,697748000
2010/9/10,0.23083894,0.235652866,0.228775844,0.234965159,609292000
2010/9/13,0.243905321,0.24688537,0.234965174,0.234965174,1015792000
2010/9/14,0.241612896,0.244822162,0.239549774,0.241842114,698536000
2010/9/15,0.24207142,0.242300665,0.236111323,0.239320616,555572000
2010/9/16,0.242300645,0.24436374,0.238862134,0.238862134,365280000
2010/9/17,0.241842076,0.244822123,0.241154396,0.244592906,416884000
2010/9/20,0.245509908,0.24642686,0.239549811,0.241842152,443168000
2010/9/21,0.258805484,0.262931702,0.244134515,0.244134515,1779624000
2010/9/22,0.261097908,0.263390249,0.256283981,0.257888614,999996000
2010/9/23,0.266370267,0.274622705,0.261785585,0.264077926,1240872000
2010/9/24,0.281041265,0.281958217,0.270267267,0.272330363,1086976000
2010/9/27,0.275081187,0.283333599,0.271413431,0.283104381,999504000
2010/9/28,0.274393559,0.278290534,0.26957963,0.275310484,723192000
2010/9/29,0.272330284,0.280353503,0.269350236,0.271871822,974904000
2010/9/30,0.267745614,0.278978099,0.265453274,0.275768806,787632000
2010/10/1,0.26018098,0.272101176,0.258117884,0.271642686,999120000
2010/10/4,0.257659286,0.262014749,0.252386898,0.257659286,749500000
2010/10/5,0.259493262,0.263619481,0.258805554,0.263161018,753588000
2010/10/6,0.247114509,0.260639334,0.244592951,0.259493163,1057604000
2010/10/7,0.245280668,0.248489934,0.237945157,0.248260689,761488000
2010/10/8,0.248948365,0.251011488,0.240925175,0.244363685,706932000
2010/10/11,0.247802302,0.252157767,0.246656132,0.250094643,442680000
2010/10/12,0.252616256,0.253762427,0.243676109,0.245739232,605208000
2010/10/13,0.2599518,0.263619558,0.253991728,0.256742532,968732000
2010/10/14,0.25582549,0.260639389,0.254679292,0.260180926,599172000
2010/10/15,0.258805484,0.262931702,0.255825463,0.259951654,639940000
2010/10/18,0.26041013,0.2615563,0.254450034,0.259034715,448156000
2010/10/19,0.258805484,0.260639361,0.25261617,0.254679265,866136000
2010/10/20,0.258805484,0.26591175,0.254450047,0.259034729,763532000
2010/10/21,0.254220784,0.259493172,0.250323811,0.259034709,1014428000
2010/10/22,0.270496368,0.272559491,0.253074573,0.255825403,1322676000
2010/10/25,0.273018003,0.275081125,0.270037954,0.27255954,673136000
2010/10/26,0.272101104,0.276227323,0.267516423,0.269808764,675248000
2010/10/27,0.275997996,0.276914921,0.268891731,0.269579439,496796000
2010/10/28,0.276227295,0.280582731,0.27370571,0.279665806,704448000
2010/10/29,0.275539637,0.278519685,0.272788833,0.275768854,554664000
2010/11/1,0.275997996,0.281728846,0.273705656,0.277373411,473920000
2010/11/2,0.281728923,0.286313605,0.275539609,0.277144242,581036000
2010/11/3,0.283792019,0.285625897,0.27622729,0.283562774,671748000
2010/11/4,0.284250557,0.289522947,0.283792095,0.286542898,700016000
2010/11/5,0.289064527,0.291586086,0.284938307,0.286313695,735116000
2010/11/8,0.290210575,0.292732133,0.286542819,0.28883516,605156000
2010/11/9,0.288605928,0.292502929,0.287001296,0.290210589,633964000
2010/11/10,0.292044491,0.292044491,0.286542857,0.290669075,521016000
2010/11/11,0.289064527,0.293878427,0.28127055,0.285167524,1089980000
2010/11/12,0.303964585,0.313592435,0.298692197,0.300067612,2142560000
2010/11/15,0.300296932,0.309695541,0.299609252,0.305340104,733548000
2010/11/16,0.291356832,0.299380025,0.290898369,0.295253806,739356000
